molecule_id,Washed_smiles,SR,bioactivity_class
1,CC1=CC(=O)C=CC1=O,5.4095,inactive
17,CCCCCCCCCCCCCCCc1cc(ccc1N)O,5.661,inactive
26,c1ccc(cc1)C(CCI)(c2ccccc2)c3ccccc3,5.715,inactive
89,CN(C)CCC(=O)c1ccccc1,4.455,inactive
112,Cc1cc(c(c(c1C)C)C[N+](C)(C)C)C,6.086,active
171,c1ccnc(c1)C(=O)O,4,inactive
185,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,7.381,active
186,C[C@@H]1[C@H](OC=C2C1=C(C(=O)C(=C2O)C(=O)O)C)C,4.806,inactive
196,c1ccc(cc1)C(=O)/C=C/c2cccnc2,5.7,inactive
197,c1ccc(cc1)C(=O)/C=C/c2ccccn2,5.708,inactive
291,c1ccc(cc1)/C=C\2/C(=O)OC(=N2)c3ccccc3,4.838,inactive
295,c1ccc(cc1)CCCC(=O)O,4.273,inactive
353,CCN(CC)CCCNc1c2ccc(cc2nc3c1cc(cc3)OC)Cl,7.538,active
355,CCN(CC)CCCC(C)Nc1c(cnc2c1cc(c(c2)Cl)C)C,8,active
377,c1ccc(cc1)Oc2ccc(cc2)CCCC3=C(C(=O)c4ccccc4C3=O)O,4.819,inactive
384,CCCCCN(CCCCC)CCCNc1c2cc(ccc2nc3c1CCCC3)Cl,,active
443,C(CNCCNCCN)N,4,inactive
455,CCC(C)(C)c1cc(c(cc1O)C(C)(C)CC)O,,active
473,Cc1ccccc1NC(=N)Nc2ccccc2C,,active
479,c1ccc(cc1)CC2(C(=O)NC(=O)N2)c3cccnc3,4,inactive
531,c1ccc(cc1)NC(=O)c2ccccc2OCC(=O)O,4,inactive
534,c1ccc2c(c1)ccc3c2cccc3,5.648,inactive
577,c1ccc2c(c1)-c3ccccc3[I+]2,4.711,inactive
596,Cc1c(cc(c(c1[N+](=O)[O-])Br)[N+](=O)[O-])[N+](=O)[O-],5.613,inactive
629,C1C(O1)C2CO2,5.411,inactive
721,c1ccc2c(c1)/C(=N/NC(=S)N)/C(=O)N2,4.008,inactive
738,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCCSC(=N)N,5.97,inactive
739,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N,8,active
740,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.9695,active
742,C(C(C(=O)O)N)OC(=O)C=[N+]=N,,active
749,c12c([nH]c(nc1=O)N)nn[nH]2,6.253,active
750,CS(=O)(=O)OCCCCOS(=O)(=O)C,4.028,inactive
752,c1[nH]c2c(n1)[nH]c(nc2=S)N,6.486,active
755,c1[nH]c2c(n1)[nH]cnc2=S,5.906,inactive
757,CC(=O)N[C@H]1CCc2cc(c(c(c2-c3c1cc(=O)c(cc3)OC)OC)OC)OC,7.655,active
762,CN(CCCl)CCCl,6.829,active
768,CC(=O)Nc1ccc(cc1)C(=O)CCl,5.58,inactive
796,c1ccc(cc1)C(=O)CC(c2ccncc2)O,4.724,inactive
798,c1ccc(cc1)/C=C/C(=O)c2ccccn2,5.1,inactive
830,c1cnccc1/C=C/C(=O)O,4,inactive
844,CC1=CCC(CC1)C(=C)C,3.526,inactive
885,CN(C)c1ccc(cc1N)C(=O)c2ccc(c(c2)N)N(C)C,6.392,active
1004,CC(C)N(CC(=O)O)CC(=O)O,4,inactive
1010,c1ccc(cc1)C(c2ccc3cccnc3c2O)Nc4ccc(cc4)[N+](=O)[O-],6.477,active
1011,c1ccc(cc1)C(c2ccc3cccnc3c2O)Nc4ccc(cc4)C(=O)O,5.479,inactive
1012,c1ccc(cc1)C(c2ccc3cccnc3c2O)Nc4ccccc4C(=O)O,5.687,inactive
1013,c1ccc(cc1)NC(c2ccc(cc2)[N+](=O)[O-])c3ccc4cccnc4c3O,6.324,active
1014,Cc1ccnc(c1)NC(c2ccccc2)c3ccc4cccnc4c3O,5.569,inactive
1015,CCOC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O,5.694,inactive
1026,C1CCC(C1)(C(=O)O)N,,active
1027,CC(C)(C(=O)C(Br)Br)Br,5.781,inactive
1042,CCN(CC(=O)O)CC(=O)O,,active
1059,Cc1cc(=O)oc2c1ccc(c2)OC(=O)C,4,inactive
1063,COc1ccc2c(c1)c(c3ccc(cc3n2)Cl)NCCCCCN4CCCCC4,7.503,active
1139,CC(Cc1ccccc1OC)N,,active
1199,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)N,4.924,inactive
1214,c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)Cl,6.556,active
1258,COCCO,,active
1338,CCCCCCCCCCNC(=O)CI,6.758,active
1390,c1c2c([nH]n1)nc[nH]c2=O,3.6595,inactive
1393,c1c2c(ncnc2[nH]n1)N,6.351,active
1424,Cn1c2c(cn1)c(ncn2)Cl,4,inactive
1433,CCCCNc1c2cnn(c2ncn1)c3ccccc3,6.353,active
1451,Cn1c2c(cn1)c(ncn2)NCc3ccccc3,4,inactive
1460,c1ccc2c(c1)c(n[nH]2)CC(C(=O)O)N,4,inactive
1482,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)[N+](=O)[O-],5.28,inactive
1493,CN(C)c1ccc(cc1)N,,active
1507,c1ccc(cc1)OC2=C(C(=O)c3ccccc3C2=O)Cl,5.348,inactive
1510,c1cc(cc2c1cc3ccc(cc3n2)N)N,6.16,active
1570,CCCCCCc1ccc(cc1O)O,,active
1604,c1ccc(c(c1)/C=N/NC(=O)N)O,4,inactive
1614,C[C@H](CCC(=O)O)[C@H]1CC[C@@]2([C@@]1(CC(=O)[C@H]3[C@H]2C(=O)C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,4,inactive
1620,c1cc(oc1)CNc2c3cn[nH]c3ncn2,4.243,inactive
1684,C(C(C(C(C1C(C(C(=O)O1)O)O)O)O)O)O,4,inactive
1694,C(C(=O)C(C(C(C(=O)O)O)O)O)O,4,inactive
1760,c1ccc2c(c1)ccc3c2cc(cc3)CCC(=O)NN,4,inactive
1771,CN(C)C(=S)SSC(=S)N(C)C,4.925,inactive
1797,Cc1ccccc1/N=N/c2ccc(c(c2)C)N,4.895,inactive
1803,CCOc1cc(ccc1O)C=O,4.119,inactive
1806,c1cc(ccc1O)S(=O)c2ccc(cc2)O,4,inactive
1847,c1ccc(cc1)/N=N/c2ccc(cc2)S(=O)(=O)O,4,inactive
1848,C[N+](C)(C)CCc1ccccc1,4,inactive
1865,c1ccc(cc1)OCC(=O)N,4,inactive
1879,c1ccc(cc1)/N=N/c2ccc(nc2N)N,4.742,inactive
1892,c1(=O)[nH]c(=O)[nH][nH]1,4,inactive
1894,C(C(=O)O)S,4,inactive
1895,c1([nH]nc(n1)N)N,2.481,inactive
1899,C1C(=O)NC(=S)S1,4,inactive
1906,C1CCN(CC1)C(=S)S,5.062666667,inactive
1908,c1cnc(c(n1)C(=O)O)C(=O)O,4,inactive
1910,C[As](=O)(C)O,4,inactive
1920,CC(=O)N1CC(=O)NC1=S,4,inactive
1936,c1(nnc(n1N)N)N,4,inactive
1938,C1CNC(=S)N1,4,inactive
1945,C(C(C(C(C(C(=O)O)O)O)O)O)O,4,inactive
1970,CCOC(=O)C(c1ccccc1)C(=O)Cc2ccccc2,4,inactive
1990,c1ccc(cc1)C(=O)/C=C/c2cccc(c2)Cl,5.585,inactive
2006,C(=N[Cu+2](N)(N)(N)(N)N=C=S)=S,4,inactive
2012,CCCCCCCCCCCC[n+]1ccc(cc1)CCCCCCCCC,5.833,inactive
2013,C=CCCCCCCCCC(=O)O,,active
2023,c1cc(ccc1N)[As](=O)(O)O,4,inactive
2032,c1ccc(cc1)/N=N/c2ccc(cc2)N,4.714,inactive
2039,c1cc2cccnc2c(c1)O,,active
2050,c1cc(ccc1NCC(=O)N)[As](=O)(O)O,4,inactive
2052,CCN(CC)CC(c1ccc2ccc3ccccc3c2c1)O,5.245,inactive
2053,c1ccc(cc1)c2ccc(cc2)C(c3ccc(cc3)c4ccccc4)(c5ccc(cc5)c6ccccc6)O,4,inactive
2061,c1cc(oc1)/C=C/C=O,4.504,inactive
2066,Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,4,inactive
2154,Cc1ccc(cc1)NCCO,4,inactive
2183,C(CCl)C(=O)O,2.863,inactive
2186,Cc1cc(c(cc1C2(c3ccccc3C(=O)O2)c4cc(c(cc4C)O)C(C)C)C(C)C)O,5.866,inactive
2289,c1ccc2c(c1)c(c[nH]2)CC(C(=O)NO)C(=O)O,4,inactive
2347,C(C(CC(=O)O)C(=O)O)C(=O)O,4,inactive
2360,CC(C)(C)c1ccc(c(c1)Br)O,4.428,inactive
2382,Cc1c(ccc2c1oc(=O)c(c2O)NC(=O)c3ccc(c(c3)CC=C(C)C)O)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O,4.735,inactive
2384,c1ccc(cc1)/C=C\2/C(=O)/C(=C/c3ccccc3)/CCC2,4.99,inactive
2426,CCCCCCC(C)OC(=O)C/C(=C\C(=O)OC(C)CCCCCC)/C(=O)OC(C)CCCCCC,,active
2518,c1ccc2c[n+](ccc2c1)Cc3ccnc4c3cccc4,4,inactive
2561,c1ccc(cc1)COC2C(C(C(CO2)O)O)O,4,inactive
2604,CCCC[Sn](CCCC)(Cl)Cl,6.529,active
2626,CCCOC(=O)c1cc(c(c(c1)O)O)O,4,inactive
2654,C(C(=O)O)(Cl)Cl,,active
2686,c1ccc2c(c1)C(=NO)c3ccccc3S2(=O)=O,4.526,inactive
2697,c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)Cl,4,inactive
2715,c1ccc(cc1)C(C(C(=O)c2ccccc2)Br)Br,,active
